# packages in environment at /Users/rylanspence/mambaforge/envs/fenics-env3:
#
# Name                    Version                   Build  Channel
adios2                    2.10.2          mpi_mpich_py313hd95b5f9_5    conda-forge
adios4dolfinx             0.9.1              pyh458ca06_0    conda-forge
aiohappyeyeballs          2.6.1              pyhd8ed1ab_0    conda-forge
aiohttp                   3.11.16         py313ha9b7d5b_0    conda-forge
aiosignal                 1.3.2              pyhd8ed1ab_0    conda-forge
anyio                     4.12.1                   pypi_0    pypi
aom                       3.9.1                h7bae524_0    conda-forge
appnope                   0.1.4              pyhd8ed1ab_1    conda-forge
argon2-cffi               25.1.0                   pypi_0    pypi
argon2-cffi-bindings      25.1.0                   pypi_0    pypi
arrow                     1.4.0                    pypi_0    pypi
asttokens                 3.0.0              pyhd8ed1ab_1    conda-forge
async-lru                 2.1.0                    pypi_0    pypi
attrs                     25.3.0             pyh71513ae_0    conda-forge
babel                     2.17.0                   pypi_0    pypi
beautifulsoup4            4.14.3                   pypi_0    pypi
bleach                    6.3.0                    pypi_0    pypi
blosc                     1.21.6               h7dd00d9_1    conda-forge
brotli                    1.1.0                hd74edd7_2    conda-forge
brotli-bin                1.1.0                hd74edd7_2    conda-forge
brotli-python             1.1.0           py313h3579c5c_2    conda-forge
bzip2                     1.0.8                h99b78c6_7    conda-forge
c-ares                    1.34.5               h5505292_0    conda-forge
c-blosc2                  2.17.1               h9cbb436_0    conda-forge
ca-certificates           2025.2.25            hca03da5_0  
cairo                     1.18.4               h6a3b0d2_0    conda-forge
cctools_osx-arm64         1010.6               h3b4f5d3_6    conda-forge
certifi                   2025.6.15       py313hca03da5_0  
cffi                      1.17.1          py313hc845a76_0    conda-forge
charset-normalizer        3.4.1              pyhd8ed1ab_0    conda-forge
checkpoint-schedules      1.0.4                    pypi_0    pypi
clang                     18.1.8          default_h474c9e2_9    conda-forge
clang-18                  18.1.8          default_hf90f093_9    conda-forge
clang_impl_osx-arm64      18.1.8              h2ae9ea5_24    conda-forge
clang_osx-arm64           18.1.8              h07b0088_24    conda-forge
clangxx                   18.1.8          default_h1ffe849_9    conda-forge
colorama                  0.4.6           py313hca03da5_0  
comm                      0.2.2              pyhd8ed1ab_1    conda-forge
compiler-rt               18.1.8               h856b3c1_1    conda-forge
compiler-rt_osx-arm64     18.1.8               h832e737_1    conda-forge
contourpy                 1.3.1           py313h0ebd0e5_0    conda-forge
coverage                  7.12.0                   pypi_0    pypi
cycler                    0.12.1             pyhd8ed1ab_1    conda-forge
cyrus-sasl                2.1.27               h60b93bd_7    conda-forge
dav1d                     1.2.1                hb547adb_0    conda-forge
dbus                      1.13.6               h3818c69_3    conda-forge
debugpy                   1.8.14          py313h928ef07_0    conda-forge
decorator                 5.2.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1                    pypi_0    pypi
dolfin-adjoint            2023.3.0                 pypi_0    pypi
double-conversion         3.3.1                h286801f_0    conda-forge
exceptiongroup            1.2.2              pyhd8ed1ab_1    conda-forge
executing                 2.1.0              pyhd8ed1ab_1    conda-forge
expat                     2.7.0                h286801f_0    conda-forge
fastjsonschema            2.21.2                   pypi_0    pypi
fenics-basix              0.9.0           py313hd7981f8_2    conda-forge
fenics-basix-nanobind-abi 0.2.1.18             h9b63b7c_2    conda-forge
fenics-dolfinx            0.9.0           py313haaef0bd_111    conda-forge
fenics-ffcx               0.9.0              pyh2e48890_0    conda-forge
fenics-libbasix           0.9.0                hf7ae0cd_2    conda-forge
fenics-libdolfinx         0.9.0           py313he999d83_111    conda-forge
fenics-ufcx               0.9.0                hb7f7608_0    conda-forge
